amenity_id,amenity_name,park_code,park_name,park_states,park_designation,park_url
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,badl,Badlands National Park,SD,National Park,http://www.nps.gov/badl/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,bibe,Big Bend National Park,TX,National Park,http://www.nps.gov/bibe/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,brca,Bryce Canyon National Park,UT,National Park,http://www.nps.gov/brca/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,cabr,Cabrillo National Monument,CA,National Monument,http://www.nps.gov/cabr/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,deva,Death Valley National Park,"CA,NV",National Park,http://www.nps.gov/deva/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,gate,Gateway National Recreation Area,"NY,NJ",National Recreation Area,http://www.nps.gov/gate/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,glac,Glacier National Park,MT,National Park,http://www.nps.gov/glac/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,grca,Grand Canyon National Park,AZ,National Park,http://www.nps.gov/grca/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,gumo,Guadalupe Mountains National Park,TX,National Park,http://www.nps.gov/gumo/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,hosp,Hot Springs National Park,AR,National Park,http://www.nps.gov/hosp/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,juba,Juan Bautista de Anza National Historic Trail,"AZ,CA",National Historic Trail,http://www.nps.gov/juba/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,klgo,Klondike Gold Rush National Historical Park,AK,National Historical Park,http://www.nps.gov/klgo/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,lecl,Lewis & Clark National Historic Trail,"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV",National Historic Trail,http://www.nps.gov/lecl/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,maca,Mammoth Cave National Park,KY,National Park,http://www.nps.gov/maca/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,neri,New River Gorge National Park & Preserve,WV,National Park & Preserve,http://www.nps.gov/neri/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,rigr,Rio Grande Wild & Scenic River,TX,Wild & Scenic River,http://www.nps.gov/rigr/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,sagu,Saguaro National Park,AZ,National Park,http://www.nps.gov/sagu/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,sajh,San Juan Island National Historical Park,WA,National Historical Park,http://www.nps.gov/sajh/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,seki,Sequoia & Kings Canyon National Parks,CA,National Parks,http://www.nps.gov/seki/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,ulsg,Ulysses S Grant National Historic Site,MO,National Historic Site,http://www.nps.gov/ulsg/
A1B0AD01-740C-41E7-8412-FBBEDD5F1443,ATM/Cash Machine,voya,Voyageurs National Park,MN,National Park,http://www.nps.gov/voya/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,abli,Abraham Lincoln Birthplace National Historical Park,KY,National Historical Park,http://www.nps.gov/abli/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,acad,Acadia National Park,ME,National Park,http://www.nps.gov/acad/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,alca,Alcatraz Island ,CA,,http://www.nps.gov/alca/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,alpo,Allegheny Portage Railroad National Historic Site,PA,National Historic Site,http://www.nps.gov/alpo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,badl,Badlands National Park,SD,National Park,http://www.nps.gov/badl/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,band,Bandelier National Monument,NM,National Monument,http://www.nps.gov/band/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,beol,Bent's Old Fort National Historic Site,CO,National Historic Site,http://www.nps.gov/beol/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,bibe,Big Bend National Park,TX,National Park,http://www.nps.gov/bibe/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,bica,Bighorn Canyon National Recreation Area,"MT,WY",National Recreation Area,http://www.nps.gov/bica/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,bicy,Big Cypress National Preserve,FL,National Preserve,http://www.nps.gov/bicy/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,blri,Blue Ridge Parkway,"NC,VA",Parkway,http://www.nps.gov/blri/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,blrv,Blackstone River Valley National Historical Park,"RI,MA",National Historical Park,http://www.nps.gov/blrv/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,brca,Bryce Canyon National Park,UT,National Park,http://www.nps.gov/brca/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,brcr,Brices Cross Roads National Battlefield Site,MS,National Battlefield Site,http://www.nps.gov/brcr/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,brvb,Brown v. Board of Education National Historical Park,KS,National Historical Park,http://www.nps.gov/brvb/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cabr,Cabrillo National Monument,CA,National Monument,http://www.nps.gov/cabr/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cajo,Captain John Smith Chesapeake National Historic Trail,"VA,MD,DE,DC,PA,NY",National Historic Trail,http://www.nps.gov/cajo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cali,California National Historic Trail,"CA,CO,ID,KS,MO,NE,NV,OR,UT,WY",National Historic Trail,http://www.nps.gov/cali/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cana,Canaveral National Seashore,FL,National Seashore,http://www.nps.gov/cana/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cari,Cane River Creole National Historical Park,LA,National Historical Park,http://www.nps.gov/cari/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,casa,Castillo de San Marcos National Monument,FL,National Monument,http://www.nps.gov/casa/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cbpo,Chesapeake Bay ,"DC,DE,MD,NY,PA,VA,WV",,http://www.nps.gov/cbpo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,chat,Chattahoochee River National Recreation Area,GA,National Recreation Area,http://www.nps.gov/chat/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,choh,Chesapeake & Ohio Canal National Historical Park,"DC,MD,WV",National Historical Park,http://www.nps.gov/choh/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,colm,Colorado National Monument,CO,National Monument,http://www.nps.gov/colm/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,crla,Crater Lake National Park,OR,National Park,http://www.nps.gov/crla/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cuis,Cumberland Island National Seashore,GA,National Seashore,http://www.nps.gov/cuis/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cuva,Cuyahoga Valley National Park,OH,National Park,http://www.nps.gov/cuva/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,dena,Denali National Park & Preserve,AK,National Park & Preserve,http://www.nps.gov/dena/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,deva,Death Valley National Park,"CA,NV",National Park,http://www.nps.gov/deva/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,drto,Dry Tortugas National Park,FL,National Park,http://www.nps.gov/drto/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,eise,Eisenhower National Historic Site,PA,National Historic Site,http://www.nps.gov/eise/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,elte,El Camino Real de los Tejas National Historic Trail,"TX,LA",National Historic Trail,http://www.nps.gov/elte/
