tags,location,isReservationRequired,arePetsPermitted,activities,amenities,doFeesApply,season,duration,parkCode,designation,fullName,states
"['Acadia National Park', 'Echo Lake', 'echo lake beach', 'west side', 'swimming', 'freshwater', 'great ponds']",Echo Lake Beach,false,true,"[{'id': '587BB2D3-EC35-41B2-B3F7-A39E2B088AEE', 'name': 'Swimming'}]",[],false,['Summer'],,acad,National Park,Acadia National Park,ME
"['stargazing', 'night skies', 'Acadia National Park', 'cadillac mountain', 'park loop road', 'East Side', 'mount desert island']",Cadillac Mountain,false,true,"[{'id': 'D37A0003-8317-4F04-8FB0-4CF0A272E195', 'name': 'Stargazing'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
[],Acadia Mountain Loop,false,true,"[{'id': '45261C0A-00D8-4C27-A1F8-029F933A0D34', 'name': 'Front-Country Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",2-3 Hours,acad,National Park,Acadia National Park,ME
[], Sargent and Penobscot Mountains from JPH,false,true,"[{'id': '45261C0A-00D8-4C27-A1F8-029F933A0D34', 'name': 'Front-Country Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
[],Jordan Pond Loop,false,true,"[{'id': '45261C0A-00D8-4C27-A1F8-029F933A0D34', 'name': 'Front-Country Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
[],Sieur de Monts to Jesup Path and Hemlock Road Loop,false,true,"[{'id': '45261C0A-00D8-4C27-A1F8-029F933A0D34', 'name': 'Front-Country Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
[],Sieur de Monts to Sand Beach,false,true,"[{'id': '45261C0A-00D8-4C27-A1F8-029F933A0D34', 'name': 'Front-Country Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",2-4 Hours,acad,National Park,Acadia National Park,ME
[],"Beech Cliff Trail, Beech Cliff Loop, and Canada Cliffs Trail",false,false,"[{'id': '45261C0A-00D8-4C27-A1F8-029F933A0D34', 'name': 'Front-Country Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",2-4 Hours,acad,National Park,Acadia National Park,ME
[],Great Head Trail,false,true,"[{'id': '45261C0A-00D8-4C27-A1F8-029F933A0D34', 'name': 'Front-Country Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
[],The Ocean Path Trail,false,true,"[{'id': '45261C0A-00D8-4C27-A1F8-029F933A0D34', 'name': 'Front-Country Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
