tags,location,isReservationRequired,arePetsPermitted,activities,amenities,doFeesApply,season,duration
"['B.A.R.K. Ranger', 'bring your pets', 'Pets', 'Pets in Parks', 'Healthy Parks Healthy People', 'recreate responsibly', 'Bark Ranger', 'BARK Ranger Day', 'National Bark Ranger Day', 'National Park Week', 'Washington DC', 'dogs']",Park Visitor Centers,false,true,"[{'id': '42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A', 'name': 'Hands-On'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",5-15 Minutes
"['trail', 'hydrothermal areas', 'hydrothermal features', 'scenic view', 'volcanoes']",Bumpass Hell Trail and Basin,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Summer', 'Fall']",90 Minutes
"['California condors', 'rock formation', 'Strenuous Hikes']",Chaparral Parking Area,true,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-3 Hours
"['Junior Ranger', 'kids', 'kids youth', 'family activities', 'kids activities', 'drop-in program', 'mabi', 'Marsh-Billings-Rockefeller', 'marsh-Billings-Rockefeller National Historical Park', 'Marsh-Billings-Rockefeller NHP']",Forest Center at Marsh-Billings-Rockefeller National Historical Park,false,true,"[{'id': 'DF4A35E0-7983-4A3E-BC47-F37B872B0F25', 'name': 'Junior Ranger Program'}]",[],false,['Summer'],1-3 Hours
"['stargazing', 'stargazing parties', 'astronomy', 'dark night sky', 'Night Sky and Sounds Division']",,false,true,"[{'id': 'D37A0003-8317-4F04-8FB0-4CF0A272E195', 'name': 'Stargazing'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['wildlife watching', 'endangered species', 'species of concern']",,false,true,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
['Rock Climbing'],Chaparral Parking Area,false,false,"[{'id': '87D3B1CD-3903-4561-ABB1-2DD870C43F2F', 'name': 'Rock Climbing'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['Rock Climbing', 'bouldering']",Bear Gulch Day Use Area,false,false,"[{'id': '87D3B1CD-3903-4561-ABB1-2DD870C43F2F', 'name': 'Rock Climbing'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['Haine Wilderness', 'rock formation', 'ADA accessible', 'easy trails']",West Visitor Contact Station Parking Area,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",30-60 Minutes
"['Talus caves', 'rock formations', 'easy moderate hike', 'Moderate Hikes', 'Hain wilderness', 'NPS Wilderness']",Old Pinnacles Parking Area,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",3-4 Hours
