activity_id,activity_name,designation,fullName,name,parkCode,states,url
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Acadia National Park,Acadia,acad,ME,https://www.nps.gov/acad/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Arches National Park,Arches,arch,UT,https://www.nps.gov/arch/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Capitol Reef National Park,Capitol Reef,care,UT,https://www.nps.gov/care/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Cuyahoga Valley National Park,Cuyahoga Valley,cuva,OH,https://www.nps.gov/cuva/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Glacier National Park,Glacier,glac,MT,https://www.nps.gov/glac/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Grand Canyon National Park,Grand Canyon,grca,AZ,https://www.nps.gov/grca/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Great Smoky Mountains National Park,Great Smoky Mountains,grsm,"NC,TN",https://www.nps.gov/grsm/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Grand Teton National Park,Grand Teton,grte,WY,https://www.nps.gov/grte/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Hawaiʻi Volcanoes National Park,Hawaiʻi Volcanoes,havo,HI,https://www.nps.gov/havo/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Indiana Dunes National Park,Indiana Dunes,indu,IN,https://www.nps.gov/indu/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Isle Royale National Park,Isle Royale,isro,MI,https://www.nps.gov/isro/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Petrified Forest National Park,Petrified Forest,pefo,AZ,https://www.nps.gov/pefo/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Saguaro National Park,Saguaro,sagu,AZ,https://www.nps.gov/sagu/index.htm
