park_code,park_name
acad,Acadia National Park
arch,Arches National Park
care,Capitol Reef National Park
cuva,Cuyahoga Valley National Park
glac,Glacier National Park
grca,Grand Canyon National Park
grsm,Great Smoky Mountains National Park
grte,Grand Teton National Park
havo,Hawaiʻi Volcanoes National Park
indu,Indiana Dunes National Park
isro,Isle Royale National Park
pefo,Petrified Forest National Park
sagu,Saguaro National Park
viis,Virgin Islands National Park
voya,Voyageurs National Park
yell,Yellowstone National Park
yose,Yosemite National Park
zion,Zion National Park
badl,Badlands National Park
bibe,Big Bend National Park
brca,Bryce Canyon National Park
cany,Canyonlands National Park
cave,Carlsbad Caverns National Park
chis,Channel Islands National Park
crla,Crater Lake National Park
deva,Death Valley National Park
drto,Dry Tortugas National Park
ever,Everglades National Park
grba,Great Basin National Park
jeff,Gateway Arch National Park
jotr,Joshua Tree National Park
kefj,Kenai Fjords National Park
lavo,Lassen Volcanic National Park
maca,Mammoth Cave National Park
meve,Mesa Verde National Park
mora,Mount Rainier National Park
olym,Olympic National Park
pinn,Pinnacles National Park
shen,Shenandoah National Park
thro,Theodore Roosevelt National Park
gumo,Guadalupe Mountains National Park
hosp,Hot Springs National Park
noca,North Cascades National Park
romo,Rocky Mountain National Park
whsa,White Sands National Park
wica,Wind Cave National Park
bisc,Biscayne National Park
kova,Kobuk Valley National Park
blca,Black Canyon Of The Gunnison National Park
cong,Congaree National Park
hale,Haleakalā National Park
