Park Designation,Park Code,Park Name,Present in States,Free Entrance,Entrance Fee,Park Website,Activity Option,Available Amenity,Park Latitude,Park Longitude,Entrance Fees
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Astronomy,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Auto and ATV,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Biking,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Camping,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Compass and GPS,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Food,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Hiking,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Horse Trekking,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Junior Ranger Program,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Park Film,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Shopping,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Wildlife Watching,ATM/Cash Machine,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Astronomy,Accessible Rooms,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Auto and ATV,Accessible Rooms,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Biking,Accessible Rooms,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Camping,Accessible Rooms,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Compass and GPS,Accessible Rooms,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Food,Accessible Rooms,43.68584846,-102.482942,$355.00
National Park,badl,Badlands National Park,SD,False,355.0,http://www.nps.gov/badl/,Hiking,Accessible Rooms,43.68584846,-102.482942,$355.00
