park_code,activity_id,activity_name,park_states,park_id,park_latitude,park_longitude,park_designation,park_url,park_name,min_summer_temp,max_summer_temp,min_winter_temp,max_winter_temp,min_spring_temp,max_spring_temp,min_fall_temp,max_fall_temp
acad,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,https://www.nps.gov/acad/index.htm,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,https://www.nps.gov/acad/index.htm,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,https://www.nps.gov/acad/index.htm,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,https://www.nps.gov/acad/index.htm,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,https://www.nps.gov/acad/index.htm,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,B12FAAB9-713F-4B38-83E4-A273F5A43C77,Climbing,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,https://www.nps.gov/acad/index.htm,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,C11D3746-5063-4BD0-B245-7178D1AD866C,Compass and GPS,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,https://www.nps.gov/acad/index.htm,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,AE42B46C-E4B7-4889-A122-08FE180371AE,Fishing,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,https://www.nps.gov/acad/index.htm,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,1DFACD97-1B9C-4F5A-80F2-05593604799E,Food,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,https://www.nps.gov/acad/index.htm,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,https://www.nps.gov/acad/index.htm,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
