park_code,amenity_id,amenity_name,park_states,park_id,park_latitude,park_longitude,park_designation,park_url,park_name,min_summer_temp,max_summer_temp,min_winter_temp,max_winter_temp,min_spring_temp,max_spring_temp,min_fall_temp,max_fall_temp,activity_id,activity_name
acad,4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,7DC6C690-2BC3-4344-9691-EF9FCFB6E506,Audio Description,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,63734D6E-3330-4EED-B916-52B3F625A091,Beach/Water Access,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,20291812-E85C-4A84-B8A2-E31C8D149704,Benches/Seating,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,5BDFF349-2F74-490E-A33E-C35286152050,Bicycle - Rack,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,27A7E3AB-CA53-41D3-AEDE-FBF74D20F023,Braille,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,DA9F2E5C-E46B-4F62-893E-4364D35931DC,Bus/Shuttle Stop,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,73C1C87E-F4EC-464D-BAEE-1F95876C24F4,Canoe/Kayak/Small Boat Launch,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,91062A96-BF79-4719-9679-BB5461B7620A,Dock/Pier,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,AB14DDED-4C61-4842-9D1F-1C9578A10802,Elevator,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
