park_code,total_fees,average_fees,pass_fee,free_park,entrance_pass_description,entrance_fee_description,fees_url,park_id,park_url,park_latitude,park_longitude,park_designation,park_name,min_summer_temp,max_summer_temp,min_winter_temp,max_winter_temp,min_spring_temp,max_spring_temp,min_fall_temp,max_fall_temp
acad,91.0,13.0,70.0,False,"A park entrance pass is required year-round. All vehicles must display a pass clearly visible through the windshield. Display federal lands passes, such as annual and military passes, on your dashboard with the signature and expiration date facing up. Passes are non-transferable and passholder must be present.","A park entrance pass is required year-round at Acadia National Park. All vehicles must display a pass clearly visible through the windshield. Display federal lands passes, such as annual and military passes, on your dashboard with the signature and expiration date facing up. Passes are non-transferable and passholder must be present. A separate vehicle reservation is also required to drive Cadillac Summit Road from mid-May into October. Vehicle reservations are only sold online in advance and are not available for purchase at the park. In addition to NPS locations in visitor centers and campgrounds, entrance passes are also available for purchase in-person at third-party sellers. These locations are not operated by the NPS and do not offer federal lands passes -- * Jordan Pond Gift Shop * Acadia Regional Chamber of Commerce at Thompson Island * Bar Harbor Chamber of Commerce, Cottage Street * Ellsworth Chamber of Commerce * Mount Desert Chamber of Commerce * Southwest Harbor/Tremont Chamber of Commerce",https://www.nps.gov/acad/planyourvisit/fees.htm,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
arch,72.0,18.0,55.0,False,,,https://www.nps.gov/arch/learn/management/yourdollarsatwork.htm,36240051-018E-4915-B6EA-3F1A7F24FBE4,https://www.nps.gov/arch/index.htm,38.72261844,-109.5863666,National Park,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2
care,,,,,,,,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,https://www.nps.gov/care/index.htm,38.2821653131,-111.247048378,National Park,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
cuva,,,,,,,,F4D44F29-3F67-498F-B05B-0783473D2708,https://www.nps.gov/cuva/index.htm,41.26093905,-81.57116722,National Park,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9
glac,,,,,,,,2B5178C6-2446-488C-AC31-47E3CEBF7159,https://www.nps.gov/glac/index.htm,48.68414678,-113.8009306,National Park,Glacier National Park,23.4,38.6,12.3,17.7,5.4,24.6,36.2,41.5
grca,,,,,,,,B7FF43E5-3A95-4C8E-8DBE-72D8608D6588,https://www.nps.gov/grca/index.htm,36.0001165336,-112.121516363,National Park,Grand Canyon National Park,48.9,73.3,23.3,39.4,22.1,29.8,48.0,60.2
grsm,,,,,,,,D9819727-18DF-4A84-BDDE-D4F2696DE340,https://www.nps.gov/grsm/index.htm,35.60116374,-83.50818326,National Park,Great Smoky Mountains National Park,58.5,65.3,18.3,36.2,7.0,38.8,50.9,63.9
grte,,,,,,,,FF73E2AA-E274-44E1-A8F5-9DD998B0F579,https://www.nps.gov/grte/index.htm,43.81853565,-110.7054666,National Park,Grand Teton National Park,22.8,56.6,3.9,23.7,2.8,25.8,32.5,50.6
havo,,,,,,,,D9BF4288-9AC3-4526-9598-BE8920839ACC,https://www.nps.gov/havo/index.htm,19.3355036,-155.4700257,National Park,Hawaiʻi Volcanoes National Park,56.6,65.3,44.3,74.2,52.7,69.3,55.5,75.6
indu,,,,,,,,473EFACE-EE15-4A4F-AA6C-666810A9E27D,https://www.nps.gov/indu/index.htm,41.63765525,-87.09647445,National Park,Indiana Dunes National Park,62.3,85.3,21.7,27.2,16.3,37.3,57.6,75.5
