park_code,location,reservation_required,pets_permitted,activities,amenities,do_fees_apply,park_states,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,season1,season2,season3,season4,park_id,park_url,park_latitude,park_longitude,park_designation,park_name,min_summer_temp,max_summer_temp,min_winter_temp,max_winter_temp,min_spring_temp,max_spring_temp,min_fall_temp,max_fall_temp
acad,Echo Lake Beach,False,True,"{id: 587BB2D3-EC35-41B2-B3F7-A39E2B088AEE, name: Swimming}",[],False,ME,Acadia National Park, Echo Lake, echo lake beach, west side, swimming, freshwater, great ponds,,,,,,,,,,Summer,,,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Cadillac Mountain,False,True,"{id: D37A0003-8317-4F04-8FB0-4CF0A272E195, name: Stargazing}",[],False,ME,stargazing, night skies, Acadia National Park, cadillac mountain, park loop road, East Side, mount desert island,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Acadia Mountain Loop,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad, Sargent and Penobscot Mountains from JPH,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Jordan Pond Loop,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Sieur de Monts to Jesup Path and Hemlock Road Loop,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Sieur de Monts to Sand Beach,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,"Beech Cliff Trail, Beech Cliff Loop, and Canada Cliffs Trail",False,False,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Great Head Trail,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,The Ocean Path Trail,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
